Compound,SMILES,InChI,logS,Temperature,logS-dataSource,HenryConstant,HenryConstant-dataSource,nIsomers
MCM:BUTDAOOH,O,InChI=1S/H2O/h1H2,,25.0,,158333.33333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BUTDBOOH,O,InChI=1S/H2O/h1H2,,25.0,,21300.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:BUTDCOOH,O,InChI=1S/H2O/h1H2,,25.0,,21300.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HC3CCO3H,O,InChI=1S/H2O/h1H2,,25.0,,11078.333333333334,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HC3CO3H,O,InChI=1S/H2O/h1H2,,25.0,,383866.6666666667,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HMACO3H,O,InChI=1S/H2O/h1H2,,25.0,,170032.66666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO13C3CO3H,O,InChI=1S/H2O/h1H2,,25.0,,12338666.666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO13C4OOH,O,InChI=1S/H2O/h1H2,,25.0,,22500000.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO1C4OOH,O,InChI=1S/H2O/h1H2,,25.0,,29600.0,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO2C3CO3H,O,InChI=1S/H2O/h1H2,,25.0,,116682.66666666669,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO2C4OOH,O,InChI=1S/H2O/h1H2,,25.0,,11636.666666666666,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO3C3CO3H,O,InChI=1S/H2O/h1H2,,25.0,,4033.6666666666665,https://doi.org/10.5194/acp-23-10901-2023,1
MCM:HO3C4OOH,O,InChI=1S/H2O/h1H2,,25.0,,7966.666666666667,https://doi.org/10.5194/acp-23-10901-2023,1
